KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
825;Lukion medialinja;Gymnasiets medialinje;Lukion medialinja;Gymnasiets medialinje;01.01.1990;
535;Lukion merilinja;Gymnasiets sjölinje;Lukion merilinja;Gymnasiets sjölinje;01.01.1990;
032;Lukion metsästys- ja luontolinja;Gymnasiets jakt- och naturlinje;Lukion metsästys- ja luontolinja;Gymnasiets jakt- och naturlinje;01.01.2011;
814;Lukion multimedialinja;Gymnasiets multimedialinje;Lukion multimedialinja;Gymnasiets multimedialinje;01.01.1990;
845;Lukion musiikin ja ilmaisun linja;Gymnasiets linje för musik och uttryck;Lukion musiikin ja ilmaisun linja;Gymnasiets linje för musik och uttryck;01.01.1990;
805;Lukion musiikkilinja;Gymnasiets musiklinje;Lukion musiikkilinja;Gymnasiets musiklinje;01.01.1990;
544;Lukion musiikkiteatterilinja;Gymnasiets musikteaterlinje;Lukion musiikkiteatterilinja;Gymnasiet musikteaterlinje;05.09.2008;
696;Lukion pieneläinlinja;Gymnasiets linje för smådjursskötsel;Lukion pieneläinlinja;Gymnasiets linje för smådjursskötsel;01.02.2011;
829;Lukion ratsastuslinja;Gymnasiets ridlinje;Lukion ratsastuslinja;Gymnasiets ridlinje;01.01.1990;
504;Lukion salibandylinja;Gymnasiets innebandylinje;Lukion salibandylinja;Gymnasiets innebandylinje;01.01.1990;
033;Lukion sirkuslinja;Gymnasiets cirkuslinje;Lukion sirkuslinja;Gymnasiets cirkuslinje;01.01.2011;
011;Lukion studiotekniikan linja;Gymnasiets studiotekniska linje;Lukion studiotekniikan linja;Gymnasiets studiotekniska linje;01.01.2013;
536;Lukion taidelinja;Gymnasiets konstlinje;Lukion taidelinja;Gymnasiets konstlinje;01.01.1990;
810;Lukion taideviestintälinja;Gymnasiets linje för konst och mediekultur;Lukion taideviestintälinja;Gymn. linje f. konst o. mediekultur;01.01.1990;
830;Lukion taito- ja taidelinja;Gymnasiets färdighets- och konstlinje;Lukion taito- ja taidelinja;Gymnasiets färdighets- och konstl.;01.01.1990;
856;Lukion talous- ja elinkeinoelämä -linja;Gymnasiets ekonomi- och näringslivslinje;Lukion talous- ja elinkeinoelämä -linja;Gymnasiets ekonomi- och näringslivslinje;01.01.2012;
826;Lukion taloustiedelinja;Gymnasiets ekonomilinje;Lukion taloustiedelinja;Gymnasiets ekonomilinje;01.01.1990;
806;Lukion tanssilinja;Gymnasiets danslinje;Lukion tanssilinja;Gymnasiets danslinje;01.01.1990;
539;Lukion teatteri-ilmaisun linja;Gymnasiets teateruttrycks linje;Lukion teatteri-ilmaisun linja;Gymnasiets teateruttrycks linje;01.01.1990;
808;Lukion tekniikkalinja;Gymnasiets tekniklinje;Lukion tekniikkalinja;Gymnasiets tekniklinje;01.01.1990;
813;Lukion teknologia ja teollisuuslinja;Gymnasiets teknologi- och industrilinje;Lukion teknologia ja teollis. linja;Gymnasiets teknologi- o. industril.;01.01.1990;
848;Lukion teknologialinja;Gymnasiets teknologielinje;Lukion teknologialinja;Gymnasiets teknologielinje;01.01.1990;
954;Lukion telinevoimistelulinja;Gymnasiets redskapsgymnastikslinje;Lukion telinevoimistelulinja;Gymnasiets redskapsgymnastikslinje;01.01.2012;
998;Lukion tennislinja;Gymnasiets tennislinje;Lukion tennislinja;Gymnasiets tennislinje;01.01.2010;
009;Lukion tiede- ja tekniikkalinja;Gymnasiets vetenskaps- och tekniklinje;Lukion tiede- ja tekniikkalinja;Gymnasiets vetenskaps- och tekniklinje;25.10.2013;
844;Lukion tiede- ja ympäristölinja;Gymnasiets vetenskaps- och miljölinje;Lukion tiede- ja ympäristölinja;Gymnasiets vetenskaps och miljölinje;01.01.1990;
792;Lukion tiedelinja;Gymnasiets vetenskapslinje;Lukion tiedelinja;Gymnasiets vetenskapslinje;01.08.2010;
818;Lukion tietotekninen linja;Gymnasiets datatekniklinje;Lukion tietotekninen linja;Gymnasiets datatekniklinje;01.01.1990;
800;Lukion urheilulinja;Gymnasiets idrottslinje;Lukion urheilulinja;Gymnasiets idrottslinje;01.01.1990;
827;Lukion urheiluvalmennuslinja;Gymnasiets idrottsträningslinje;Lukion urheiluvalmennuslinja;Gymnasiets idrottsträningslinje;01.01.1990;
540;Lukion valmennuslinja;Gymnasiets träningslinje;Lukion valmennuslinja;Gymnasiets träningslinje;01.01.1990;
815;Lukion viestintälinja;Gymnasiets kommunikationslinje;Lukion viestintälinja;Gymnasiets kommunikationslinje;01.01.1990;
055;Lukion voimistelulinja;Gymnasiets gymnastiklinje;Lukion voimistelulinja;Gymnasiets gymnastiklinje;01.08.2011;
001;Lukion yhteiskunta- ja talouslinja;Gymnasiets samhälls- och ekonomilinje;Lukion yhteiskunta- ja talouslinja;Gymnasiets samhälls- och ekonomilinje;01.08.2014;
807;Lukion ympäristölinja;Gymnasiets humanekologilinje;Lukion ympäristölinja;Gymnasiets humanekologilinje;01.01.1990;
842;Lukion ympäristötieteiden ja ilmaisutaidon linja;Gymnasiets linje för miljöventeskap och uttrycksförmåga;Lukion ympäristötiet. ja ilmaisut linja;Linje f.miljövetensk.o.uttrycksförmåga;01.01.1990;
846;Lukion ympäristötieteiden linja;Gymnasiets miljövetenskapliga linje;Lukion ympäristötieteiden linja;Gymnasiets miljövetenskapliga linje;01.01.1990;
533;Lukion yrittäjyyslinja;Gymnasiets företagsamhetslinje;Lukion yrittäjyyslinja;Gymnasiets företagsamhetslinje;01.01.1990;
036;Lukion metsästys- ja kalastuslinja;Gymnasiets jakt- och fiskelinje;Lukion metsästys- ja kalastuslinja;Gymnasiets jakt- och fiskelinje;27.11.13;
037;Lukion käsi- ja taideteollisuuslinja;Gymnasiets linje för hantverk- och konstindustri;Lukion käsi- ja taideteollisuuslinja;Gymnasiets linje för hantverk- och konstindustri;01.01.13;
