KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
524;Kirjansidonta, pk (Käsi- ja taideteollisuusalan perustutkinto);Bokbinderi, gr (Grundexamen inom hantverk och konstindustri);Kirjansidonta, pk;Bokbinderi, gr;01.01.1990;
448;Kivialan koulutusohjelma, pk (Rakennusalan perustutkinto);Utbildningsprogrammet för stenbranschen, gr (Grundexamen inom byggnadsbranschen);Kivialan koulutusohjelma, pk;Up för stenbranschen, gr;11.09.2008;
117;Klassinen baletti, pk (Tanssialan perustutkinto);Klassisk balett, gr (Grundexamen i dans);Klassinen baletti, pk;Klassisk balett, gr;30.06.2008;
857;Kone- ja metallialan perustutkinto, pk;Grundexamen inom maskin- och metallbranschen, gr;Kone- ja metallialan perustutkinto, pk;Grex inom maskin- och metallbranschen,gr;01.01.1990;
018;Kone-, metalli- ja sähköala, pk;Maskin-, metall- och elbranschen, gr;Kone-, metalli- ja sähköala, pk;Maskin-, metall- och elbranschen, gr;01.01.2011;
336;Korukivi- ja jalometalliala, pk (Käsi- ja taideteollisuusalan perustutkinto);Smyckesten- och ädelmetallbranchen, gr (Grundexamen inom hantverk och konstindustri);Korukivi- ja jalometalliala, pk;Smyckesten- och ädelmetallbranschen, gr;01.01.1990;
186;Kotitalousopetus, pk;Utbildning i huslig ekonomi, gr;Kotitalousopetus, pk;Utbildning i huslig ekonomi, gr;01.01.1990;
475;Kotityö- ja puhdistuspalvelujen perustutkinto, pk;Grundexamen i hemarbets- och rengöringsservice, gr;Kotityö- ja puhdistuspalvelujen pt, pk;Grex i hemarbets- o. rengöringsserv., gr;13.05.2009;
768;Kuljetuspalvelujen koulutusohjelma, pk (Logistiikan perustutkinto);Utbildningsprogrammet för transportservice, gr (Grundexamen i logistik);Kuljetuspalvelujen koulutusohjelma, pk;Up för transportservice, gr;01.01.1990;
299;Kultasepänala, pk (Käsi- ja taideteollisuusalan perustutkinto);Guldsmide, gr (Grundexamen inom hantverk och konstindustri);Kultasepänala, pk;Guldsmide, gr;01.01.1990;
455;Kuva- ja mediataiteen koulutusohjelma, pk (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för bild- och mediekonst, gr (Grundexamen i visuell framställning);Kuva- ja mediataiteen ko, pk;Up för bild- och mediekonst, gr;12.05.2009;
674;Kuva ja ääni, pk (Audiovisuaalisen viestinnän perustutkinto);Bild och ljud, gr (Grundexamen i audiovisuell kommunikation);Kuva ja ääni, pk;Bild och ljud, gr;01.01.2012;
497;Kuvallisen ilmaisun perustutkinto, pk;Grundexamen i visuell framställning, gr;Kuvallisen ilmaisun pt, pk;Grex i visuell framställning, gr;01.01.1990;
875;Käsi- ja taideteollisuusalan perustutkinto, pk;Grundexamen i hantverk och konstindustri, gr;Käsi- ja taideteollisuusalan pt, pk;Grex i hantverk- och konstind, gr;01.01.1990;
012;Käsityömuotoilu, pk (Käsi-ja taideteollisuusalan perustutkinto);Hantverksdesign, gr (Grundexamen inom hantverk och konstindustri);Käsityömuotoilu, pk;Hantverksdesign, gr;01.01.2013;
583;Laboratorioalan perustutkinto, pk;Grundexamen inom laboratoriebranschen, gr;Laboratorioalan perustutkinto, pk;Grex inom laboratoriebranschen, gr;01.01.1990;
184;Lapsi- ja perhetyön perustutkinto, pk;Grundexamen i barn- och familjearbete, gr;Lapsi- ja perhetyön perustutkinto, pk;Grex i barn- och familjearbete, gr;01.01.1990;
354;Lasiala, pk (Käsi- ja taideteollisuusalan perustutkinto);Glas, gr (Grundexamen inom hantverk och konstindustri);Lasiala, pk;Glas, gr;01.01.1990;
701;Lavasterakentaminen, pk (Käsi- ja taideteollisuusalan perustutkinto);Scenbyggnad, gr (Grundexamen inom hantverk och konstindustri);Lavasterakentaminen, pk;Scenbyggnad, gr;01.01.1990;
974;Lennonjohdon perustutkinto, pk;Grundexamen i flygledning, gr;Lennonjohdon perustutkinto, pk;Grex i flygledning, gr;01.01.1990;
064;Lentokoneasennuksen perustutkinto, pk;Grundexamen i flygplansmekanik, gr;Lentokoneasennuksen perustutkinto, pk;Grex i flygplansmekanik, gr;01.01.1990;
114;Liiketalouden perustutkinto, pk;Grundexamen inom företagsekonomi, gr;Liiketalouden perustutkinto, pk;Grex inom företagsekonomi, gr;01.01.1990;
