KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
440;Tekstiilitekniikan koulutusohjelma, pk (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för textilteknik, gr (Grundexamen inom textil- och beklädnadsbranschen);Tekstiilitekniikan ko, pk;Up för textilteknik, gr;04.09.2008;
164;Tieto- ja kirjastopalvelujen koulutusohjelma, pk (Liiketalouden perustutkinto);Utbildningsprogrammet för informations- och bibliotekstjänst, gr (Grundexamen inom företagsekonomi);Tieto- ja kirjastopalvelujen ko, pk;Up för informations- och bibl.tjänst, gr;03.07.2008;
139;Tieto- ja tietoliikennetekniikan perustutkinto, pk;Grundexamen inom datateknik och datakommunikationsteknik, gr;Tieto- ja tietoliikennetekniikan pt, pk;Grex inom data- o. datakommun.teknik, gr;03.07.2008;
515;Tieto- ja viestintätekniikan perustutkinto, pk;Grundexamen inom informations- och kommunikationsteknik, gr;Tieto- ja viestintätekniikan pt, pk;Grex i informations o. kommun.teknik, gr;16.06.2009;
426;Tietokoneanimaatio ja pelit, pk (Audiovisuaalisen viestinnän perustutkinto);Data-animation och spel, gr (Grundexamen i audiovisuell kommunikation);Tietokoneanimaatio ja pelit, pk;Data-animation och spel, gr;03.09.2008;
413;Tilarakennus, pk (Käsi- ja taideteollisuusalan perustutkinto);Utrymmesbyggnad, gr (Grundexamen inom hantverk och konstindustri);Tilarakennus, pk;Utrymmesbyggnad, gr;01.09.2008;
005;Tilasuunnittelu ja toteutus, pk (Käsi-ja taideteollisuusalan perustutkinto);Rumsplanering och genomförande, gr (Grundexamen inom hantverk och konstindustri);Tilasuunnittelu ja toteutus, pk;Rumsplanering och genomförande, gr;01.01.2013;
408;Tilauspuusepäntyö, pk (Käsi- ja taideteollisuusalan perustutkinto);Beställningssnickare, gr (Grundexamen inom hantverk och konstindustri);Tilauspuusepäntyö, pk;Beställningssnickare, gr;01.09.2008;
157;Tuotteen suunnittelun ja valmistuksen koulutusohjelma, pk (Käsi- ja taideteollisuusalan perustutkinto);Utbildningsprogrammet för produktplanering och -tillverkning, gr (Grundexamen inom hantverk och konstindustri);Tuotteen suunnittelun ja valm. ko, pk;Up för produktplan. o. -tillverkning, gr;03.07.2008;
896;Turkistalouden koulutusohjelma, pk (Maatalousalan perustutkinto);Utbildningsprogrammet för pälsdjursuppfödning, gr (Grundexamen inom lantbruksbranschen);Turkistalouden koulutusohjelma, pk;Up för pälsdjursuppfödning, gr;01.01.1990;
444;Turvallisuusalan perustutkinto, pk;Grundexamen inom säkerhetsbranschen, gr;Turvallisuusalan perustutkinto, pk;Grex inom säkerhetsbranschen, gr;01.01.1990;
766;Ulkoasun toteutuksen koulutusohjelma, pk (Painoviestinnän perustutkinto);Utbildningsprogrammet för layout, gr (Grundexamen i grafisk kommunikation);Ulkoasun toteutuksen koulutusohjelma, pk;Up för layout;01.01.1990;
345;Uusi kuva- ja mediataide, pk (Kuvallisen ilmaisun perustutkinto);Ny bild- och mediakonst, gr (Grundexamen i visuell framställning);Uusi kuva- ja mediataide, pk;Ny bild- och mediakonst, gr;01.01.1990;
420;Uusmedia, pk (Audiovisuaalisen viestinnän perustutkinto);Nymedia, gr (Grundexamen i audiovisuell kommunikation);Uusmedia, pk;Nymedia, gr;01.09.2008;
438;Vaatetuksen koulutusohjelma, pk (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för beklädnad, gr (Grundexamen inom textil- och beklädnadsbranschen);Vaatetuksen ko, pk;Up för beklädnad, gr;04.09.2008;
551;Vaatetusala, pk (Käsi- ja taideteollisuusalan perustutkinto);Beklädnad, gr (Grundexamen inom hantverk och konstindustri);Vaatetusala, pk;Beklädnad, gr;01.01.1990;
052;Vaatetusmuotoilu- ja stailausala, pk (Käsi- ja taideteollisuusalan perustutkinto);Beklädnadsdesign och styling, gr (Grundexamen inom hantverk och konstindustri);Vaatetusmuotoilu- ja stailausala, pk;Beklädnadsdesign och styling, gr;01.01.2013;
458;Valokuvauksen koulutusohjelma, pk (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för fotografering, gr (Grundexamen i visuell framställning);Valokuvauksen ko, pk;Up för fotografering, gr;12.05.2009;
352;Valokuvaus, pk (Audiovisuaalisen viestinnän perustutkinto);Fotografering, gr (Grundexamen i audiovisuell kommunikation);Valokuvaus, pk;Fotografering, gr;01.01.1990;
578;Veneenrakennuksen perustutkinto, pk;Grundexamen i båtbyggnad, gr;Veneenrakennuksen perustutkinto, pk;Grex i båtbyggnad, gr;01.01.1990;
242;Veneenrakennus, pk (Käsi- ja taideteollisuusalan perustutkinto);Båtbygge, gr (Grundexamen inom hantverk och konstindustri);Veneenrakennus, pk;Båtbygge, gr;01.01.1990;
577;Verhoilu- ja sisustusalan perustutkinto, pk;Grundexamen inom tapetsering och inredning, gr;Verhoilu- ja sisustusalan pt, pk;Grex inom tapetsering och inredning, gr;01.01.1990;
446;Viheralan koulutusohjelma, pk (Puutarhatalouden perustutkinto);Utbildningsprogrammet för grönsektorn, gr (Grundexamen i trädgårdsskötsel);Viheralan ko, pk;Up för grönsektorn, gr;04.09.2008;
021;Viherrakennus, pk (Käsi- ja taideteollisuusalan perustutkinto);Grönområdesplanering, gr (Grundexamen inom hantverk och konstindustri);Viherrakennus, pk;Grönområdesplanering, gr;01.01.2011;
456;Viittomakielisen ohjauksen perustutkinto, pk;Grundexamen i teckenspråkshandledning, gr;Viittomakielisen ohjauksen pt, pk;Grex i teckenspråkshandledning, gr;01.01.1990;
106;Visualisti, pk (Käsi- ja taideteollisuusalan perustutkinto);Visualist, gr (Grundexamen inom hantverk och konstindustri);Visualisti, pk;Visualist, gr;01.01.2011;
949;Ympäristön suunnittelun ja rakentamisen koulutusohjelma, pk (Käsi- ja taideteollisuusalan perustutkinto);Utbildningsprogrammet för miljöplanering och -byggande, gr (Grundexamen inom hantverk och konstindustri);Ympäristön suun. ja rakentamisen ko, pk;Up för miljöplanering och byggande, gr;01.01.1990;
418;Ääni, pk (Audiovisuaalisen viestinnän perustutkinto);Ljud, gr (Grundexamen i audiovisuell kommunikation);Ääni, pk (Audiovisuaalisen viest. pt.);Ljud, gr;01.09.2008;
610;Äänituotanto, pk (Audiovisuaalisen viestinnän perustutkinto);Ljudproduktion, gr (Grundexamen i audiovisuell kommunikation);Äänituotanto, pk (audio. vies. pt);Ljudproduktion, gr (grex i audiov. kom.);17.08.2009;
017;Valmentava ja kuntouttava opetus ja ohjaus;Undervisning och handledning i tränings- och rehabiliteringssyfte;Valmentava ja kuntouttava opetus ja ohjaus;Undervisning och handledning i tränings- och rehabiliteringssyfte;15.10.2013;
887;Ajoneuvo- ja kuljetustekniikka, yo (Autoalan perustutkinto);Fordons- och transportteknik, st (Grundexamen inom bilbranschen);Ajoneuvo- ja kuljetustekniikka, yo;Fordons- och transportteknik, st;01.01.1990;
291;Asesepäntyö, yo (Käsi- ja taideteollisuusalan perustutkinto);Vapensmide, st (Grundexamen inom hantverk och konstindustri);Asesepäntyö, yo;Vapensmide, st;01.01.1990;
487;Ateljee- ja asusteompelu, yo (Käsi- ja taideteollisuusalan perustutkinto);Ateljé- och asseccoarsömnad, st (Grundexamen inom hantverk och konstindustri);Ateljee- ja asusteompelu, yo;Ateljé- och asseccoarsömnad, st;15.05.2009;
511;Audiovisuaalisen viestinnän perustutkinto, yo;Grundexamen i audiovisuell kommunikation, st;Audiovisuaalisen viestinnän pt, yo;Grex i audiovisuell kommunikation, st;01.01.1990;
255;Autoalan perustutkinto, yo;Grundexamen inom bilbranschen, st;Autoalan perustutkinto, yo;Grex inom bilbranschen, st;01.01.1990;
425;Digimedia, yo (Audiovisuaalisen viestinnän perustutkinto);Digimedia, st (Grundexamen i audiovisuell kommunikation);Digimedia, yo;Digimedia, st;01.09.2008;
894;Elintarvikealan perustutkinto, yo;Grundexamen inom livsmedelsbranschen, st;Elintarvikealan perustutkinto, yo;Grex inom livsmedelsbranschen, st;01.01.1990;
435;Elokuva- ja tv-alan tuotanto-assistentti, yo (Audiovisuaalisen viestinnän perustutkinto);Produktionsassistent inom film- och tv-branschen, st (Grundexamen i audiovisuell kommunikation);Elokuva- ja tv-alan tuot.assistentti, yo;Prod.as. inom film- och tv-branschen, st;03.09.2008;
581;Eläintenhoidon koulutusohjelma, yo (Maatalousalan perustutkinto);Utbildningsprogrammet för djurskötsel, st (Grundexamen inom lantbruksbranschen);Eläintenhoidon ko, yo;Up för djurskötsel, st;01.01.1990;
776;Ensihoidon koulutusohjelma, yo (Sosiaali- ja terveysalan perustutkinto);Utbildningsprogrammet för akutvård, st (Grundexamen inom social- och hälsovårdsbranschen);Ensihoidon koulutusohjelma, yo;Up för akutvård, st;01.01.1990;
403;Graafinen suunnittelu, yo (Audiovisuaalisen viestinnän perustutkinto);Grafisk planering, st (Grundexamen i audiovisuell kommunikation);Graafinen suunnittelu, yo;Grafisk planering, st;18.08.2008;
034;Graafinen suunnittelu, yo (Kuvallisen ilmaisun perustutkinto);Grafisk planering, st (Grundexamen i visuell framställning);Graafinen suunnittelu, yo;Grafisk planering, st;01.01.2012;
451;Graafisen suunnittelun koulutusohjelma, yo (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för grafisk planering, st (Grundexamen i visuell framställning);Graafisen suunnittelun ko, yo;Up för grafisk planering, st;12.05.2009;
223;Hammastekniikan perustutkinto, yo;Grundexamen i tandteknik, st;Hammastekniikan perustutkinto, yo;Grex i tandteknik, st;01.01.1990;
217;Hevostalouden perustutkinto, yo;Grundexamen inom hästhushållning, st;Hevostalouden pt, yo;Grex inom hästhushållning, st;03.07.2008;
002;Hienopuuseppä, yo (Käsi- ja taideteollisuusalan perustutkinto);Finsnickare, st (Grundexamen inom hantverk och konstindustri);Hienopuuseppä, yo;Finsnickare, st ;01.08.2013;
480;Hiusalan perustutkinto, yo;Grundexamen inom hårbranschen, st;Hiusalan perustutkinto, yo;Grex inom hårbranschen, st;01.01.1990;
298;Hopeasepänala, yo (Käsi- ja taideteollisuusalan perustutkinto);Silversmide, st (Grundexamen inom hantverk och konstindustri);Hopeasepänala, yo;Silversmide, st;01.01.1990;
474;Hotelli-, ravintola- ja catering-alan perustutkinto, yo;Grundexamen inom hotell-, restaurang- och cateringbranschen, st;Hotelli-, rav. ja catering-alan pt, yo;Grex inom hot., rest. o. cateringbr., st;13.05.2009;
478;Huonekalupuuseppä, yo (Käsi- ja taideteollisuusalan perustutkinto);Möbelsnickare, st (Grundexamen inom hantverk och konstindustri);Huonekalupuuseppä, yo;Möbelsnickare, st;15.05.2009;
182;Jalkinealan koulutusohjelma, yo (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för skobranschen, st (Grundexamen inom textil- och beklädnadsbranschen);Jalkinealan ko, yo;Up för skobranschen, st;03.07.2008;
128;Jazz- ja populaaritanssi, yo (Tanssialan perustutkinto);Jazz- och populärdans, st (Grundexamen i dans);Jazz- ja populaaritanssi, yo;Jazz- och populärdans, st;30.06.2008;
102;Kaivosalan perustutkinto, yo;Grundexamen inom gruvbranschen, st;Kaivosalan perustutkinto, yo;Grex inom gruvbranschen, st;03.07.2008;
880;Kalatalouden perustutkinto, yo;Grundexamen i fiskeri, st;Kalatalouden perustutkinto, yo;Grex i fiskeri, st;01.01.1990;
582;Kansainvälispainotteinen kotitalousopetus, yo;Internationell utbildning i huslig ekonomi, st;Kansainvälispainotteinen kotital.op, yo;Internationell utb. i husl.ekonomi, st;01.01.1990;
123;Kansantanssi, yo (Tanssialan perustutkinto);Folkdans, st (Grundexamen i dans);Kansantanssi, yo;Folkdans, st;30.06.2008;
285;Kauneudenhoitoalan perustutkinto, yo;Grundexamen inom skönhetsbranschen, st;Kauneudenhoitoalan perustutkinto, yo;Grex inom skönhetsbranschen, st;01.01.1990;
195;Kello- ja mikromekaniikan perustutkinto, yo;Grundexamen i ur- och mikromekanik, st;Kello- ja mikromekaniikan pt, yo;Grex i ur- och mikromekanik, st;01.01.1990;
424;Keramiikka-ala, yo (Käsi- ja taideteollisuusalan perustutkinto);Keramik, st (Grundexamen inom hantverk och konstindustri);Keramiikka-ala, yo;Keramik, st;01.01.1990;
601;Kiinteistöpalvelujen perustutkinto, yo;Grundexamen inom fastighetsservice, st;Kiinteistöpalvelujen pt, yo;Gr. ex. inom fastighetsservice. st;17.08.2009;
531;Kirjansidonta, yo (Käsi- ja taideteollisuusalan perustutkinto);Bokbinderi, st (Grundexamen inom hantverk och konstindustri);Kirjansidonta, yo;Bokbinderi, st;01.01.1990;
563;Kiviala, yo (Käsi- ja taideteollisuusalan perustutkinto);Sten, st (Grundexamen inom hantverk och konstindustri);Kiviala, yo;Sten, st;01.01.1990;
449;Kivialan koulutusohjelma, yo (Rakennusalan perustutkinto);Utbildningsprogrammet för stenbranschen, st (Grundexamen inom byggnadsbranschen);Kivialan koulutusohjelma, yo;Up för stenbranschen, st;11.09.2008;
118;Klassinen baletti, yo (Tanssialan perustutkinto);Klassisk balett, st (Grundexamen i dans);Klassinen baletti, yo;Klassisk balett, st;30.06.2008;
885;Kone- ja metallialan perustutkinto, yo;Grundexamen inom maskin- och metallbranschen, st;Kone- ja metallialan perustutkinto, yo;Grex inom maskin- och metallbr, st;01.01.1990;
359;Korukivi- ja jalometalliala, yo (Käsi- ja taideteollisuusalan perustutkinto);Smyckesten- och ädelmetallbranschen, st (Grundexamen inom hantverk och konstindustri);Korukivi- ja jalometalliala, yo;Smyckesten- och ädelmetallbranschen, st;01.01.1990;
490;Kotitalousopetus, yo;Utbildning i huslig ekonomi, st;Kotitalousopetus, yo;Utbildning i huslig ekonomi, st;01.01.1990;
476;Kotityö- ja puhdistuspalvelujen perustutkinto, yo;Grundexamen i hemarbets- och rengöringsservice, st;Kotityö- ja puhdistuspalvelujen pt, yo;Grex i hemarbets- o. rengöringsserv., st;13.05.2009;
774;Kuljetuspalvelujen koulutusohjelma, yo (Logistiikan perustutkinto);Utbildningsprogrammet för transportservice, st (Grundexamen i logistik);Kuljetuspalvelujen koulutusohjelma, yo;Up för transportservice, st;01.01.1990;
306;Kultasepänala, yo (Käsi- ja taideteollisuusalan perustutkinto);Guldsmide, st (Grundexamen inom hantverk och konstindustri);Kultasepänala, yo;Guldsmide, st;01.01.1990;
457;Kuva- ja mediataiteen koulutusohjelma, yo (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för bild- och mediekonst, st (Grundexamen i visuell framställning);Kuva- ja mediataiteen ko, yo;Up för bild- och mediekonst, st;12.05.2009;
678;Kuva ja ääni, yo (Audiovisuaalisen viestinnän perustutkinto);Bild och ljud, st (Grundexamen i audiovisuell kommunikation);Kuva ja ääni, yo;Bild och ljud, st;01.01.2012;
523;Kuvallisen ilmaisun perustutkinto, yo;Grundexamen i visuell framställning, st;Kuvallisen ilmaisun perustutkinto, yo;Grex i visuell framställning, st;01.01.1990;
902;Käsi- ja taideteollisuusalan perustutkinto, yo;Grundexamen i hantverk och konstindustri, st;Käsi- ja taideteollisuusalan pt, yo;Grex i hantverk och konstind, st;01.01.1990;
013;Käsityömuotoilu, yo (Käsi-ja taideteollisuusalan perustutkinto);Hantverksdesign, st (Grundexamen inom hantverk och konstindustri);Käsityömuotoilu, yo;Hantverksdesign, st;01.01.2013;
584;Laboratorioalan perustutkinto, yo;Grundexamen inom laboratoriebranschen, st;Laboratorioalan perustutkinto, yo;Grex inom laboratoriebranschen, st;01.01.1990;
257;Lapsi- ja perhetyön perustutkinto, yo;Grundexamen i barn- och familjearbete, st;Lapsi- ja perhetyön perustutkinto, yo;Grex i barn- och familjearbete, st;01.01.1990;
383;Lasiala, yo (Käsi- ja taideteollisuusalan perustutkinto);Glas, st (Grundexamen inom hantverk och konstindustri);Lasiala, yo;Glas, st;01.01.1990;
756;Lavasterakentaminen, yo (Käsi- ja taideteollisuusalan perustutkinto);Scenbyggnad, st (Grundexamen inom hantverk och konstindustri);Lavasterakentaminen, yo;Scenbyggnad, st;01.01.1990;
981;Lennonjohdon perustutkinto, yo;Grundexamen i flygledning, st;Lennonjohdon perustutkinto, yo;Grex i flygledning, st;01.01.1990;
067;Lentokoneasennuksen perustutkinto, yo;Grundexamen i flygplansmekanik, st;Lentokoneasennuksen perustutkinto, yo;Grex i flygplansmekanik, st;01.01.1990;
206;Liiketalouden perustutkinto, yo;Grundexamen inom företagsekonomi, st;Liiketalouden perustutkinto, yo;Grex inom företagsekonomi, st;01.01.1990;
417;Liikkuva kuva, yo (Audiovisuaalisen viestinnän perustutkinto);Rörlig bild, st (Grundexamen i audiovisuell kommunikation);Liikkuva kuva, yo;Rörlig bild, st;01.09.2008;
126;Liikunnanohjauksen perustutkinto, yo;Grundexamen i idrott, st;Liikunnanohjauksen perustutkinto, yo;Grundexamen i idrott, st;01.01.2008;
281;Logistiikan perustutkinto, yo;Grundexamen i logistik, st;Logistiikan perustutkinto, yo;Grex i logistik, st;01.01.1990;
278;Luonto- ja ympäristöalan perustutkinto, yo;Grundexamen i natur och miljö, st;Luonto- ja ympäristöalan pt, yo;Grex i natur och miljö, st;01.01.1990;
209;Lääkealan perustutkinto, yo;Grundexamen inom läkemedelsbranschen, st;Lääkealan perustutkinto, yo;Grex inom läkemedelsbranschen, st;01.01.1990;
613;Maalaus ja animaatio, yo (Kuvallisen ilmaisun perustutkinto);Måleri och animation, st (Grundexamen i visuell framställning);Maalaus ja animaatio, yo;Måleri och animation, st;17.08.2009;
322;Maalausala, yo (Käsi- ja taideteollisuusalan perustutkinto);Målning, st (Grundexamen inom hantverk och konstindustri);Maalausala, yo;Målning, st (Grex inom hantv. o. konst.);01.01.1990;
890;Maanmittausalan perustutkinto, yo;Grundexamen inom lantmäteriteknik, st;Maanmittausalan perustutkinto, yo;Grex inom lantmäteriteknik, st;01.01.1990;
775;Maarakennuskoneenkuljetuksen koulutusohjelma, yo (Rakennusalan perustutkinto);Utbildningsprogrammet för schanktningsmaskintransport, st (Grundexamen inom byggnadsbranschen);Maarakennuskoneenkuljetuksen ko, yo;Up för schanktningsmaskintransport, st;10.09.2008;
202;Maatalousalan perustutkinto, yo;Grundexamen inom lantbruksbranschen, st;Maatalousalan perustutkinto, yo;Grex inom lantbruksbranschen, st;01.01.1990;
327;Mallinrakennus, yo (Käsi- ja taideteollisuusalan perustutkinto);Modellbygge, st (Grundexamen inom hantverk och konstindustri);Mallinrakennus, yo;Modellbygge, st;01.01.1990;
441;Matkailualan perustutkinto, yo;Grundexamen i turism, st;Matkailualan perustutkinto, yo;Grex i turism, st;01.01.1990;
228;Matkailupalvelujen koulutusohjelma, yo (Matkailualan perustutkinto);Utbildningsprogrammet för turismservice, st (Grundexamen i turism);Matkailupalvelujen ko, yo;Up för turismservice, st;03.07.2008;
248;Matkailupalvelujen myynnin ja tietopalvelujen koulutusohjelma, yo (Matkailualan perustutkinto);Utbildningsprogrammet för försäljning av turismservice och informationstjänst, st (Grundexamen i turism);Matkailupalv. myynnin ja tietopalv.ko,yo;Up förs. av turismserv. o inf.tjänst, st;03.07.2008;
905;Meijerialan koulutusohjelma, yo (Elintarvikealan perustutkinto);Utbildningsprogrammet för meijeribranschen, st (Grundexamen inom livsmedelsbranschen);Meijerialan koulutusohjelma, yo;Up för meijeribranschen, st;01.01.1990;
895;Merenkulkualan perustutkinto, yo;Grundexamen i sjöfart, st;Merenkulkualan perustutkinto, yo;Grex i sjöfart, st;01.01.1990;
273;Metalliala, yo (Käsi- ja taideteollisuusalan perustutkinto);Metall, st (Grundexamen inom hantverk och konstindustri);Metalliala, yo;Metall, st;01.01.1990;
324;Metsäalan perustutkinto, yo;Grundexamen inom skogsbranschen, st;Metsäalan perustutkinto, yo;Grex inom skogsbranschen, st;01.01.1990;
243;Metsäkoneasennuksen koulutusohjelma, yo (Metsäalan perustutkinto);Utbildningsprogrammet för montering av skogsmaskiner, st (Grundexamen inom skogsbranschen);Metsäkoneasennuksen ko, yo;Up för montering av skogsmaskiner, st;01.01.1990;
771;Metsäkoneenkuljetuksen koulutusohjelma, yo (Metsäalan perustutkinto);Utbildningsprogrammet för körning av skogsmaskiner, st (Grundexamen inom skogsbranschen);Metsäkoneenkuljetuksen ko., yo;Up för körning av skogsmaskiner, st;01.01.1990;
530;Muinaistekniikka, yo (Käsi- ja taideteollisuusalan perustutkinto);Forntida teknik, st (Grundexamen inom hantverk och konstindustri);Muinaistekniikka, yo;Forntida teknik, st;01.01.1990;
384;Muotoilu ja mallintaminen, yo (Käsi- ja taideteollisuusalan perustutkinto);Formgivning och modelltillverkning, st (Grundexamen inom hantverk och konstindustri);Muotoilu ja mallintaminen, yo;Formgivning och modelltillverkning, st;01.01.1990;
203;Muovi- ja kumitekniikan perustutkinto, yo;Grundexamen i plast- och gummiteknik, st;Muovi- ja kumitekniikan perustutkinto,yo;Grex i plast- och gummiteknik, st;01.01.1990;
462;Musiikin koulutusohjelma, yo (Musiikkialan perustutkinto);Utbildningsprogrammet för musik, st (Grundexamen i musik);Musiikin ko, yo;Up för musik, st;12.05.2009;
464;Musiikkiteknologian koulutusohjelma, yo (Musiikkialan perustutkinto);Utbildningsprogrammet för musikteknologi, st (Grundexamen i musik);Musiikkiteknologian ko, yo;Up för musikteknologi, st;12.05.2009;
566;Neulevaatetus, yo (Käsi- ja taideteollisuusalan perustutkinto);Stickning, st (Grundexamen inom hantverk och konstindustri);Neulevaatetus, yo;Stickning, st;01.01.1990;
241;Nuoriso- ja vapaa-ajan ohjauksen perustutkinto, yo;Grundexamen i ungdoms- och fritidsinstruktion, st;Nuoriso- ja vapaa-ajan ohjauksen pt, yo;Grex i ungdoms o. fritidsinstruktion, st;01.01.1990;
121;Nykytanssi, yo (Tanssialan perustutkinto);Modern dans, st (Grundexamen i dans);Nykytanssi, yo;Modern dans, st;30.06.2008;
323;Näyttely- ja messurakentaminen, yo (Käsi- ja taideteollisuusalan perustutkinto);Utställnings- och mässbyggande, st (Grundexamen inom hantverk och konstindustri);Näyttely- ja messurakentaminen, yo;Utställnings- och mässbyggande, st;01.01.1990;
382;Ohjaustoiminta, yo (Käsi- ja taideteollisuusalan perustutkinto);Handledning, st (Grundexamen inom hantverk och konstindustri);Ohjaustoiminta, yo;Handledning, st;01.01.1990;
773;Painotekniikan koulutusohjelma, yo (Painoviestinnän perustutkinto);Utbildningsprogrammet för tryckeriteknik, st (Grundexamen i grafisk kommunikation);Painotekniikan koulutusohjelma, yo;Up för tryckeriteknik, st;01.01.1990;
967;Painoviestinnän perustutkinto, yo;Grundexamen i grafisk kommunikation, st;Painoviestinnän perustutkinto, yo;Grex i grafisk kommunikation, st;01.01.1990;
401;Peliala, yo (Audiovisuaalisen viestinnän perustutkinto);Spelbranschen, st (Grundexamen i audiovisuell kommunikation);Peliala, yo;Spelbranschen, st;18.08.2008;
469;Pianonvirityksen koulutusohjelma, yo (Musiikkialan perustutkinto);Utbildningsprogrammet för pianostämmning, st (Grundexamen i musik);Pianonvirityksen ko, yo;Up för pianostämming, st;12.05.2009;
892;Pintakäsittelyalan perustutkinto, yo;Grundexamen inom ytbehandlingsbranschen, st;Pintakäsittelyalan perustutkinto, yo;Grex inom ytbehandlingsbranschen, st;01.01.1990;
472;Prosessiteollisuuden perustutkinto, yo;Grundexamen inom processindustrin, st;Prosessiteollisuuden perustutkinto, yo;Grex inom processindustrin, st;13.05.2009;
482;Puu- ja metallihuonekaluseppä, yo (Käsi- ja taideteollisuusalan perustutkinto);Trä- och metallmöbelsnickare, st (Grundexamen inom hantverk och konstindustri);Puu- ja metallihuonekaluseppä, yo;Trä- och metallmöbelsnickare, st;15.05.2009;
008;Puu ja muotoilu, yo (Käsi- ja taideteollisuusalan perustutkinto);Trä och formgivning, st (Grundexamen inom hantverk och konstindustri);Puu ja muotoilu, yo;Trä och formgivning, st;01.01.2013;
190;Puuala, yo (Käsi- ja taideteollisuusalan perustutkinto);Trä, st (Grundexamen inom hantverk och konstindustri);Puuala, yo;Trä, st;01.01.1990;
891;Puualan perustutkinto, yo;Grundexamen inom träbranschen, st;Puualan perustutkinto, yo;Grex inom träbranschen, st;01.01.1990;
054;Puumuotoilu- ja puusepänala, yo (Käsi- ja taideteollisuusalan perustutkinto);Träformgivning och snickeribranschen, st (Grundexamen inom hantverk och konstindustri);Puumuotoilu- ja puusepänala, yo;Träformgivning och snickeribranschen, st;01.01.2013;
059;Puutarha- sekä Liiketalouden perustutkinto, yo;Grundexamen i trädgårdsskötsel och inom företagsekonomi, st;Puutarha- sekä Liiketalouden pt, yo;Grex i trädgårds. o. företagsekonomi, st;01.01.2013;
879;Puutarhatalouden perustutkinto, yo;Grundexamen i trädgårdsskötsel, st;Puutarhatalouden pt, yo;Gr.ex.i trädgårdsskötsel, st;01.01.1990;
318;Rakennusala, yo (Käsi- ja taideteollisuusalan perustutkinto);Byggnadsbranschen, st (Grundexamen inom hantverk och konstindustri);Rakennusala, yo;Byggnadsbranschen, st;01.01.1990;
889;Rakennusalan perustutkinto, yo;Grundexamen inom byggnadsbranschen, st;Rakennusalan perustutkinto, yo;Grex inom byggnadsbranschen, st;01.01.1990;
319;Restaurointiala, yo (Käsi- ja taideteollisuusalan perustutkinto);Restaurering, st (Grundexamen inom hantverk och konstindustri);Restaurointiala, yo;Restaurering, st;01.01.1990;
537;Saamenkäsityöt, kovat materiaalit, yo (Käsi- ja taideteollisuusalan perustutkinto);Sameslöjd, hårda material, st (Grundexamen inom hantverk och konstindustri);Saamenkäsityöt, kovat materiaalit, yo;Sameslöjd, hårda material, st;01.01.1990;
580;Saamenkäsityöt, pehmeät materiaalit, yo (Käsi- ja taideteollisuusalan perustutkinto);Sameslöjd, mjuka material, st (Grundexamen inom hantverk och konstindustri);Saamenkäsityöt, pehmeät materiaalit, yo;Sameslöjd, mjuka material, st;01.01.1990;
400;Sirkusalan perustutkinto, yo;Grundexamen inom cirkusbranschen, st;Sirkusalan perustutkinto, yo;Grex inom cirkusbranschen, st;04.07.2008;
793;Sisustusala, yo (Käsi- ja taideteollisuusalan perustutkinto);Inredning, st (Grundexamen inom hantverk och konstindustri);Sisustusala, yo;Inredning, st;01.01.1990;
003;Sisustusassistentti, yo (Käsi- ja taideteollisuusalan perustutkinto);Interiörsassistent, st (Grundexamen inom hantverk och konstindustri);Sisustusassistentti, yo;Interiörsassistent, st;01.08.2013;
314;Sisustusrakentaminen, yo (Käsi- ja taideteollisuusalan perustutkinto);Inredningssnickeri, st (Grundexamen inom hantverk och konstindustri);Sisustusrakentaminen, yo;Inredningssnickeri, st;01.01.1990;
485;Sisustustekstiilit, yo (Käsi- ja taideteollisuusalan perustutkinto);Inredningstextilier, st (Grundexamen inom hantverk och konstindustri);Sisustustekstiilit, yo;Inredningstextilier, st;15.05.2009;
564;Soitinrakennusala, yo (Käsi- ja taideteollisuusalan perustutkinto);Instrumentbyggnad, st (Grundexamen inom hantverk och konstindustri);Soitinrakennusala, yo;Instrumentbyggnad, st;01.01.1990;
900;Sosiaali- ja terveysalan perustutkinto, yo;Grundexamen inom social- och hälsovårdsbranschen, st;Sosiaali- ja terveysalan pt, yo;Grex inom social- och hälsovårdsbr, st;01.01.1990;
047;Stailausala, yo (Käsi- ja taideteollisuusalan perustutkinto);Styling, st (Grundexamen inom hantverk och konstindustri);Stailausala, yo;Styling, st;01.01.2013;
668;Suunnitteluassistentin perustutkinto, yo;Grundexamen för planeringsassistent, st;Suunnitteluassistentin perustutkinto, yo;Grex för planeringsassistent, st;01.01.1990;
192;Sähkö- ja automaatiotekniikan perustutkinto, yo;Grundexamen inom el- och automationsteknik, st;Sähkö- ja automaatiotekniikan pt, yo;Grex inom el- och automationsteknik, st;03.07.2008;
